Name,Discipline,Rank,Focus,Target,Range,Properties,Effect,Heightened
<strong>Chromatic Orb</strong>,Evocation,1,2,vs. Dodge,Medium,,"You focus elemental energy into a concentrated orb and hurl it against a target. When casting the spell, choose one damage type between acid (ignore 1/2 AV), fire (burning (2/4/6)), frost (briefly slowed), lightning (briefly staggered), or poison (briefly poisoned).<br/><strong>Weak.</strong> Deals +4 damage of the chosen damage type and apply the additional effect mentioned for that damage type.<br/><strong>Strong.</strong> Deals +8 damage of the chosen damage type and apply the additional effect mentioned for that damage type.<br/><strong>Critical. </strong>Deals +12 damage of the chosen damage type and apply the additional effect mentioned for that damage type.",<strong>(Rank 2) </strong>Deal +6/12/18 damage instead.<br/><br/><strong>(Rank 3) </strong>Deal +8/16/24 damage instead.
<strong>Elemental Ward</strong>,Evocation,1,2,Medium (8),Self,quick,"You surround yourself in a ward that absorbs elemental energies affecting you. Cast this spell before taking damage or on your turn.<br/>On a success, you briefly gain resistance against acid, fire, frost, lightning, and poison damage.<br/>","<strong>(Rank 2) </strong>While the spell lasts, inflict half of the acid, fire, frost, lightning, or poison damage you take (after AV and resistances) from an attacker back to them (ignoring AV).<br/><br/><strong>(Rank 3) </strong>While the spell lasts, inflict the same amount of the acid, fire, frost, lightning, or poison damage you take (after AV and resistances) from an attacker back to them (ignoring AV) instead."
<strong>Flame Burst</strong>,Evocation,1,2,vs. Dodge,Close,blast (cone),"Holding your open hand out, a wide burst of fire erupts from it.<br/><strong>Weak.</strong><em> </em>Deals +2 fire damage to all targets. <br/><strong>Strong.</strong> Deals +4 fire damage to all targets.<br/><strong>Critical.</strong> Deals +6 fire damage to all targets and each of them suffers burning (2) for a short duration.",<strong>(Rank 2) </strong>Deal +4/8/12 damage against each target instead.<br/><br/><strong>(Rank 3) </strong>Deal +6/12/18 damage against each target instead.
<strong>Flaming Weapon</strong>,Evocation,1,2,Medium (8),Self,"enchant (weapon), singular","Enchant your weapon with magical flames.<br/>On a success, the weapon emits bright light in melee range and dim light in close range of it and deals +2 fire damage. You can make a weapon attack as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 2)</strong> The weapon deals +4 fire damage instead.<br/><br/><strong>(Rank 3) </strong>The weapon deals +6 fire damage instead.
<strong>Frozen Weapon</strong>,Evocation,1,2,Medium (8),Self,"enchant (weapon), singular","Enchant your weapon with magical frost.<br/>On a success, the weapon deals +2 frost damage. On a strong or critical hit, the target is briefly slowed. You can make a weapon attack as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 2)</strong> The weapon deals +4 frost damage instead.<br/><br/><strong>(Rank 3) </strong>The weapon deals +6 frost damage instead.
<strong>Ice Shards</strong>,Evocation,1,2,vs. Dodge,Medium,,"You form an icicle in your grasp. The icicle explodes on impact, sending out razor sharp shards around it.<br/><strong>Weak.</strong> Deal +4 frost damage to the target.<br/><strong>Strong. </strong>Deal +8 frost damage to the target.<br/><strong>Critical. </strong>Deal +12 frost damage to the target.<br/>Also on a success, the icicle explodes upon impact, dealing +2 frost damage to all other creatures in melee range of the target.<br/>",<strong>(Rank 2) </strong>Deal +6/12/18 damage to the target and +4 damage with the explosion instead.<br/><br/><strong>(Rank 3) </strong>Deal +8/16/24 damage to the target and +6 damage with the explosion instead.
<strong>False Enemy</strong>,Illusion,1,2,vs. Resist,Medium,"concentrate, illusory","Using an illusionary creature, you fool your target into believing they are attacked by the illusion. Choose a small or medium sized form for your false enemy. On a success, the target imagines the false enemy to be attacking them in melee.<br/><strong>Weak.</strong> Deal +2 psychic damage (ignoring AV).<br/><strong>Strong.</strong> Deal +4 psychic damage (ignoring AV) and the target is briefly distracted by the false enemy.<br/><strong>Critical. </strong>Deal +6 psychic damage (ignoring AV) and the target is briefly distracted by the false enemy. The target’s roll to see through the false enemy’s illusion is hard.<br/>You can use your Quick Action on your next turn to repeat the roll for this spell without spending additional Focus. On a success, apply the spell’s effects again. On a failure or if you choose not to use your Action to continue the spell, the spell ends and you can’t continue to cast it without spending additional Focus.<br/>",<strong>(Rank 2)</strong> Deal +4/+8/+12 psychic damage (ignoring AV) instead.<br/><br/><strong>(Rank 3) </strong>Deal +6/+12/+18 psychic damage (ignoring AV) instead.
<strong>Illusory Trap</strong>,Illusion,1,2,vs. Resist,Medium,illusory,"You make a creature believe that they triggered a trap.<br/>On a success, they believe they set off the trap and are getting pinned by it. Choose any plausible form for the illusory trap to take (e.g. hunting trap or trap hole).<br/><strong>Weak.</strong> Deal +2 psychic damage (ignoring AV).<br/><strong>Strong.</strong> Deal +4 psychic damage (ignoring AV) and the target is grappled by the illusory trap.<br/><strong>Critical. </strong>Deal +6 psychic damage (ignoring AV) and the target is grappled and restrained by the illusory trap.<br/>After the target believes it was pinned by the trap, the illusion lasts for a short duration or until they see through it.<br/>",<strong>(Rank 2)</strong> Deal +4/+8/+12 psychic damage (ignoring AV) instead.<br/><br/><strong>(Rank 3) </strong>Deal +6/+12/+18 psychic damage (ignoring AV) instead.
<strong>Hallucinated Swarm</strong>,Illusion,2,4,vs. Resist,Short,blast (cone),Create an illusory swarm of creatures or projectiles that a group of creatures believe to be attacked by. Target all creatures in the spell’s area.<br/><strong>Weak.</strong> Deal +2 psychic damage (ignoring AV) to each target.<br/><strong>Strong.</strong> Deal +4 psychic damage (ignoring AV) to each target and they are briefly confused.<strong> <br/>Critical. </strong>Deal +6 psychic damage (ignoring AV) to each target and they are confused for a short time. They can roll Spirit + Fortitude vs. your Resist at the end of their turns to end the effect early.,<strong>(Rank 3) </strong>Deal +4/+8/+12 psychic damage (ignoring AV) instead.
<strong>Illusionary Terrain</strong>,Illusion,2,4,Hard (10),Medium,"concentrate, illusory","Create a large scale illusion, blending into the environment by mimicking the surrounding scenery.<br/>Choose any inanimate object, structure, or environmental feature that encompasses up to a close three dimensional area.<br/>On a success, the illusion appears and lasts for a medium duration, even if you move out of range of it.<br/>",<strong>(Rank 3)</strong> The illusion can cover up to a short distance in all three dimensions instead.
