Name,Category,Weapons,Effect
Aimed Shot,Basic,"Bow, Crossbow, Thrown","If you don’t move during your turn, you gain +1 boon on the attack."
Barrage,Basic,"Bow, Thrown","You can roll another attack with a non-heavy ranged weapon, but suffer +1 bane on it."
Brutal Strike,Basic,"Axe, Blade, Mace, Polearm",You suffer +1 bane on the attack with a heavy melee weapon.Weak. + 1/4 x Strength to damage.Strong. + 1/2 x Strength to damage.Critical. + Strength to damage.
Charge,Basic,"Axe, Blade, Mace, Polearm, Shield",You can only target a creature in short distance or further away from you with this melee attack. You can spend 1 Movement for free towards your target before the attack. This attack also counts as a Shove Action.Weak. +2 damage. Strong. +3 damage. The target is pushed close.Critical. +4 damage. The target is pushed close and knocked prone. You may follow your target to where they are pushed without spending Movement.
Choking Grip,Basic,"Brawl, Thrown","You can use this Combat Art when attempting to grapple a target with an attack. If the target wears a helmet, you suffer +1 bane on the attack. Weak. +2 damage.Strong. +3 damage. The target is also restrained while grappled by your weapon.Critical. +4 damage. The target is also briefly dazed and restrained while grappled by your weapon."
Cleave,Basic,"Axe, Blade, Mace, Polearm","Your attack with a two-handed melee weapon hits up to 2 additional creatures in your weapon's reach. On a hit, subtract your weapon damage once from the total damage you deal against each target."
Deep Cut,Basic,"Axe, Blade, Brawl, Polearm","On a hit with a slash melee weapon against a target in light or no armor, inflict bleeding equal to your weapon damage for a short duration.Strong. Rolls to end the bleeding condition early are hard.Critical. Rolls to end the bleeding condition early are very hard."
Defensive Strike,Basic,"Axe, Blade, Brawl, Mace, Polearm, Shield","On a hit with a melee weapon, you gain the effects of the Defend Action."
Disabling Shot,Basic,"Bow, Crossbow, Thrown","On a hit with a crush or heavy ranged weapon, the target must roll Strength + Fortitude. If they wear heavy armor or a helmet, they gain +1 boon on the roll (or +2 boons when wearing both).Weak. If they fail, they are briefly dazed.Strong. If they succeed, they are briefly dazed. If they fail, they are briefly stunned instead.Critical. Same as a strong success, but the target’s roll is hard."
Disarm,Basic,"Axe, Blade, Brawl, Mace, Polearm","Immediately after this attack, use the Disarm action against the same target."
Disarming Shot,Basic,"Bow, Crossbow, Thrown","Immediately after this attack, use the Disarm action against the same target. You can only choose a one-handed item the target holds, that isn’t a shield. Roll Strength/Agility + Archery for the disarm instead. For a non-light item, you suffer +1 bane on your roll."
Divert Attention,Basic,"Axe, Blade, Brawl, Mace, Polearm","This melee attack also counts as a Distract Action.Weak. The target is briefly distracted by you.Strong. The target is distracted by you for a short duration. They can re-roll their Spirit + Insight test at the end of each of their turns to end the effect early.Critical. Same as a strong success, but the target‘s roll is hard."
Evasive Strike,Basic,"Axe, Blade, Brawl, Polearm","On a hit with a melee weapon, you gain the effects of the Retreat Action."
Exhilarating Strike,Basic,"Axe, Blade, Brawl, Mace, Polearm","Weak. You and all allies close to you regain 1/2 x your Spirit as HP.Strong. Same as a weak success, but they also gain +1 boon on the one roll on their next turns (their choice).Critical. Same as a strong success, but they also deal +2 damage with one attack on their next turn."
Feint,Basic,"Blade, Brawl, Polearm","If you don’t move during your turn, you gain +1 boon on the attack with a non-heavy melee weapon."
Felling Strike,Basic,"Axe, Blade, Brawl, Mace, Polearm, Thrown","This melee attack also counts as a Trip Action.Weak. The target falls prone.Strong. The target falls prone and their Movement briefly becomes 0.Critical. The target falls prone, their Movement briefly becomes 0, and they are briefly dazed."
Flurry,Basic,"Axe, Blade, Brawl, Mace, Polearm","You can roll another attack with a non-heavy melee weapon, but suffer +1 bane on it."
