Name,Type,Size,HP,AV,Strength,Agility,Spirit,Mind,Parry,Dodge,Resist,Skills,Immunities,Resistances,Weaknesses,Attack 1,Attack 2,Ability 1,Ability 2,Ability 3
Badger,Animal,any,,,,,,,,,,"Fighting (-1), Perception, Survival",,,,Bite (pierce). Deals normal weapon damage.,"Claw (light, slash). Deals -1 weapon damage (min. 1).","Burrow. This creature can move freely through loose earth, treating it as difficult terrain.",Keen Scent. This creature gains +1 boon on Perception rolls based on smell.,Natural Climber. This creature can climb without treating it as difficult terrain.
Bird,Animal,any,,,-1,1,,,-1,1,,"Athletics, Fighting (-1), Perception, Survival",,,,"Beak (agile, pierce). Deals normal weapon damage. On a strong or critical hit, the target suffers bleeding (2 x Tier).","Talons (agile, light, slash). Deals -1 weapon damage (min. 1).","Dive Attack. After flying at least a short distance downwards, this creature gains +1 boon on it’s next attack during the same turn. On a hit, increase the SL by one step (max. critical hit).","Flying (Wings). This creature can fly with +1 Movement per turn. If on the ground, it can’t use more than 1 Movement per turn.",Keen Eyes. This creature gains +1 boon on Perception rolls based on sight.
Boar,Animal,any,10,+1 (light),1,,,,,,,"Fighting (-1), Fortitude, Perception, Survival",,,,Tusks (crush). Deals normal weapon damage.,,"Gore Attack. After moving at least a short distance in a straight line, this creature gains +1 boon on it’s next attack during the same turn. On a hit, increase the SL by one step (max. critical hit).",Keen Scent. This creature gains +1 boon on Perception rolls based on smell.,"Relentless. When this creature would suffer a Wound, it can choose to ignore it. This creature can use this ability once per day."
Cat,Animal,any,,,,,,,,,,"Athletics, Fighting (-1), Perception, Stealth, Survival",,,,"Bite (crush). On a strong or critical hit against a creature of equal or smaller Size, the target is grappled. While grappled, this attack can’t be used to attack any other target.","Claw (light, slash). Deals -1 weapon damage (min. 1).",Keen Scent. This creature gains +1 boon on Perception rolls based on smell.,Night Vision. This creature can see one range category further from sources of bright and dim light.,"Pounce. If this creature spend Movement towards it’s target during the turn it attacks, it gains +1 boon on the attack. Also on a strong or critical hit against a creature of equal or smaller Size, the target is knocked prone."
Crab,Animal,any,10,+2 (heavy),1,-1,,,1,-1,,"Fighting (-1), Fortitude, Stealth, Survival",,,,"Pincer (crush). Deals normal damage. On a strong or critical hit against a creature of equal or smaller Size, the target is grappled. This creature has two pincers it can attack with. While grappled, this attack can't be used with the same pincer against any other target.",,Aquatic. This creature is immune to drowning and can swim with normal Movement.,Hard Shell. This creature can use the Guard Quick Action treating it’s shell as a shield.,Slow Movement. This creature can’t spend more than 1 Movement per turn.
Dog,Animal,any,,,,,,,,,,"Athletics, Fighting (-1), Perception, Survival",,,,"Bite (pierce). Deals normal weapon damage. On a strong or critical hit against a creature of equal or smaller Size, the target is grappled. While grappled, this attack can't be used against any other target.",,Keen Scent. This creature gains +1 boon on Perception rolls based on smell.,Pack Tactics. This creature gains +1 boon on attacks against any enemy in melee range if this creature has more allies in melee range than enemies.,"Track Scent. This creature can track a scent trail for up to a day after it was made, unless some foreign force influenced the scent (for example, a heavy rain)."
Frog,Animal,any,,,-1,1,,,-1,1,,"Athletics, Fighting (-1), Perception, Stealth, Survival",,,,"Bite (agile). Deals -1 weapon damage. On a strong or critical hit, the target is grappled. On a hit against a target of smaller Size already grappled before the attack, this creature can choose to swallow them.","Tongue (agile, reach). Deals no damage. On a hit, the target is grappled and pulled a close distance towards this creature. While grappled, this attack can't be used against any other target.",Amphibious. This creature can hold their breath underwater for a medium duration and can swim with normal Movement.,"Strong Leap. This creature can jump up to a short distance without rolling, even without moving before.","Swallow. This creature can only swallow one smaller creature at a time. When doing so, the target is no longer grappled. Instead, the target becomes blinded and restrained. It also takes lasting acid damage equal to normal weapon damage. When this creature takes a Wound or dies, it releases the swallowed creature and they are spit out prone in melee range."
Hippopotamus,Animal,any,10,+1 (light),1,-1,,,,,,"Fighting (-1), Fortitude, Perception, Survival",,,,"Bite (crush). Deals normal weapon damage. On a strong or critical hit, the target suffers bleeding (2 x Tier).",,Deep Breath. This creature can hold their breath underwater for a short duration and can swim with normal Movement.,"Gore Attack. After moving at least a short distance in a straight line, this creature gains +1 boon on it’s next attack during the same turn. On a hit, increase the SL by one step (max. critical hit).","Relentless. When this creature would suffer a Wound, it can choose to ignore it. This creature can use this ability once per day."
Horse,Animal,any,10,,,,,,,,,"Athletics, Fighting (-1), Fortitude, Survival",,,,Bite (crush). Deals normal weapon damage.,Kick (crush). This creature can only use this attack if it skips all Movement this turn (before and after the attack). Deals +1 weapon damage.,Beast of Burden. This creature can be of large Size even for a Tier that normally doesn’t allow that Size.,Fast Movement. This creature has +1 Movement and can cover twice the normal distance during travel.,Powerful Build. Add +2 to this creature’s encumbrance and over-encumbrance limits.
Rat,Animal,any,,,-1,1,,,-1,1,,"Fighting (-1), Perception, Stealth, Survival",,,,"Bite (agile, pierce). Deals normal weapon damage. On a strong or critical hit, the target suffers bleeding (2 x Tier).",,Keen Scent. This creature gains +1 boon on Perception rolls based on smell.,Natural Climber. This creature can climb without treating it as difficult terrain.,Pack Tactics. This creature gains +1 boon on attacks against any enemy in melee range if this creature has more allies in melee range than enemies.
