Name,Description
<strong>bleeding (X)</strong>,"You take X lasting damage. At the end of your turns, roll Strength + Fortitude to end the condition early. You or one of your allies can also use an Action to roll Spirit + Nature to quickly bandage up the wound. On a success, the condition ends early."
<strong>blinded</strong>,You apply the following effects:<br/>- Your rolls requiring sight automatically fail.<br/>- You can’t target any creature you don’t perceive through other senses than sight.<br/>- Attacks against you gain +1 boon and your attacks against targets you can’t see suffer +1 bane in melee or +2 banes at range.<br/>- You can‘t take Quick Actions requiring sight against targets you can’t see.<br/>
<strong>burning (X)</strong>,"You take X lasting fire damage. You can use your Action to roll Agility + Athletics to knock out the flames. On a success, you end the condition early. It also ends early if you come into contact with a large amount of water."
<strong>charmed</strong>,"You apply the following effects:<br/>- You can’t target the source of the charm with attacks or any other harmful actions.<br/>- The source of the charm gains +1 boon on Influence rolls towards you.<br/>As soon as the source of the charm does something harmful to you, the charmed condition ends.<br/>"
<strong>confused</strong>,"You apply the following effects:<br/>- You can’t use Quick Actions.<br/>- At the start of your turn, roll a d6 Confusion Check.<br/><br/><strong>1. </strong>Spend your movement in a random direction and then skip your turn.<br/><br/><strong>2-3.</strong> Attack a random target within range. If there is no viable target, skip your turn.<br/><br/><strong>4-5</strong>. You can act normally but suffer +1 bane on all rolls.<br/><br/><strong>6.</strong> You can act normally."
<strong>dazed</strong>,You apply the following effects:<br/>- You suffer +1 bane on all rolls.<br/>- You can’t use Quick Actions.<br/>
<strong>deafened</strong>,Your rolls requiring hearing automatically fail.
<strong>deprived</strong>,"You will suffer this condition from a lack of crucial needs, such as food, water, or sleep. While you are deprived, you suffer the following conditions: - You suffer +1 bane on all rolls. - You only regain up to half your max. HP from short breaks. - At the start of each day you suffer this condition, you also suffer 2 Fatigue. You can end this condition by having a night’s rest with food and water again."
<strong>distracted</strong>,"You apply the following effects:<br/>- You suffer +1 bane on all rolls unless they are against the source of your distraction.<br/>- Attacks against you gain +1 boon against you, unless they are from the source of your distraction.<br/>- You can only use Quick Actions against the source of your distraction.<br/>This condition ends early when you take damage from anything different than the source of your distraction.<br/>"
<strong>frightened</strong>,"At the start of your turn, roll a d6 Fear Check.<br/><br/><strong>1.</strong> You cower in fear and can’t take Actions, Quick Actions or move.<br/><br/><strong>2-5.</strong> You can only move in directions which increases your distance to the source of your fear. You suffer +1 bane on rolls which target the source of your fear.<br/><br/><strong>6. </strong>You can act normally but still suffer +1 bane on rolls which target the source of your fear."
<strong>grappled</strong>,"If you and the creature that grappled you are both the same size, both your Movement becomes 0. If your sizes differ, the smaller creature can‘t move."
<strong>hidden</strong>,Any creature not able to perceive you is considered blinded against you and can’t target you with any attack or other ability. Interacting with or making an attack against a creature you are hidden from reveals your location to them and you are no longer hidden from them.
<strong>marked (X)</strong>,"While marked, the next attack against you gains +1 boon and deals +X damage on a hit. After that attack, the condition ends."
<strong>paralyzed</strong>,"You apply the following effects:<br/>- Your Movement becomes 0.<br/>- Attacks against you gain +1 boon and you suffer +1 bane on all rolls.<br/>- You automatically fail any roll you are required to make with Strength or Agility.<br/>- You can’t take any Actions, Quick Actions, or use any other abilities.<br/>"
<strong>poisoned</strong>,You suffer +1 bane on all rolls.
<strong>prone</strong>,"You are prone when you lie down, crouch, or crawl. You apply the following effects:<br/>- Ranged attacks against you suffer +1 bane.<br/>- Melee attack against you gain +1 boon.<br/>- You need +1 Movement to move a close or short distance.<br/>- To stand up while prone, you must spend 1 Movement.<br/>"
<strong>pushed</strong>,"You are involuntarily moved a specified distance away from your current location away from the source that pushed you. <br/>If you are pushed into another creature or solid object that ends your movement, take falling damage as if you had fallen the same distance you moved before hitting the creature or object. You don’t trigger Opportunity Attacks with this movement. If you are moved into another creature, they also take the same amount of damage.<br/>"
<strong>restrained</strong>,You apply the following effects:<br/>- Your Movement becomes 0.<br/>- Attacks against you gain +1 boon.<br/>- You suffer +1 bane on attacks.<br/>
<strong>silenced</strong>,You apply the following effects:<br/>- Your rolls requiring speech automatically fail.<br/>- You are unable to cast spells.<br/>
<strong>slowed</strong>,You need +1 Movement to move a close or short distance.
<strong>staggered</strong>,"You apply the following effects:<br/>- On your turn, you can only move or take an Action, not both.<br/>- You can’t use Quick Actions.<br/>"
<strong>stunned</strong>,"You apply the following effects:<br/>- You need +1 Movement to move a close or short distance.<br/>- Attacks against you gain +1 boon and you suffer +1 bane on all rolls.<br/>- On your turn, you can only move or take an Action, not both.<br/>- You can’t use Quick Actions.<br/>"
<strong>suffocating</strong>,"At the end of each of your turns, roll an easy Strength + Fortitude test. On a failure, you suffer one Fatigue. Each subsequent turn that you have to roll this test, increase the Difficulty by one step (turn one is easy, turn two is medium, turn three is hard, and so on)."
<strong>unconscious</strong>,"You apply the following effects:<br/>- You can’t move, act, or perceive anything.<br/>- You automatically fail any roll you are required to make with Strength or Agility.<br/>- You drop anything you hold in your hands.<br/>- You fall prone.<br/>- Any successful attack against you automatically inflicts a Wound in addition to the attack's normal effects.<br/>"
