Name,Tradition,Rank,Focus,Target,Range,Properties,Effect,Heightened
<strong>Blessing of Light</strong>,Light,1,2,Medium (8),Touch,"enchant (eyes), singular","You bless a creature with the magical power of light, making them enlightened to their surroundings.<br/>On a success, the creature gains the following effects:<br/>- You can see one range category further from sources of bright and dim light.<br/>- You gain +1 boon on Perception rolls.<br/>This spell lasts for a long duration.<br/>","<strong>(Rank 2)</strong> The target gains resistance to fire and radiant damage for the spell‘s duration.<br/><br/><strong>(Rank 3)</strong> The target gains resistance to fire, necrotic, psychic, and radiant damage for the spell‘s duration."
<strong>Radiant Weapon</strong>,Light,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of the sun. If the target is dual-wielding, you can instead target both their held weapons.<br/>On a success, the weapon emits bright light in melee range and dim light in close range of it and deals +2 radiant damage. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 2)</strong> The weapon emits bright light in close range and dim light in short range and deals +4 radiant damage instead.<br/><br/><strong>(Rank 3) </strong>The weapon emits bright light in short range and dim light in medium range and deals +6 radiant damage instead.
<strong>Curse of Twilight</strong>,Twilight,1,2,vs. Resist,Short,singular,"You curse a creature with the magical power of twilight, bringing the fear of night into their heart.<br/>On a success, the creature suffers the following effects:<br/>- They see in bright light as in dim light.<br/>- They suffer +1 bane on Perception and Initiative rolls.<br/>This curse lasts for a long duration.<br/>",<strong>(Rank 2)</strong> The target suffers a weakness to either frost or psychic damage (choose one) for the spell‘s duration.<br/><br/><strong>(Rank 3)</strong> The target suffers a weakness to both frost and psychic damage for the spell‘s duration.
<strong>Haunting Shadows</strong>,Twilight,1,2,vs. Resist,Medium,concentrate,"You conjure vengeful shadows that follow and torment a target with chilling whispers and ghostly touches. On a success, imaginary spectral shadows begin haunting the target. The target takes +2 psychic damage (ignoring AV) at the start of each of their turns. The shadows whisper disturbing thoughts, causing the target to suffer +1 bane on Spirit and Mind rolls.<br/>The haunting lasts for a short duration. The target can roll Spirit + Fortitude vs. your Resist at the end of their turns to end the effect early.<br/>",<strong>(Rank 2)</strong> The target takes +4 psychic damage (ignoring AV) instead.<br/><br/><strong>(Rank 3) </strong>The target takes +6 psychic damage (ignoring AV) instead.
<strong>Lunar Weapon</strong>,Twilight,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of the night. If the target is dual-wielding, you can instead target both their held weapons.<br/>On a success, the weapon emits dim light in close range of it and deals +2 frost damage. On a strong or critical hit, the attack‘s target is briefly slowed. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>",<strong>(Rank 2)</strong> The weapon deals +4 frost damage instead.<br/><br/><strong>(Rank 3) </strong>The weapon deals +6 frost damage instead.
<strong>Aura of Fear</strong>,Twilight,2,4,Hard (10),Self,concentrate,"You emanate an aura of primal terror that affects all hostile creatures in close range. On a success, you create an aura that moves with you for a short duration. Any hostile creature that starts their turn within close range of you must roll Spirit + Mysticism vs. your Resist. On a failure, they become frightened of you for the rest of their turn and take +4 psychic damage (ignoring AV). A creature can only be affected by this spell once per turn. Creatures that succeed on their test are immune to this spell's fear effect until the spell ends.","<strong>(Rank 3)</strong> Choose one:<br/>- The aura extends in short range around you instead.<br/>- On a failure, each creature takes +8 psychic damage (ignoring AV) instead.<br/>"
<strong>Terrors of the Dark</strong>,Twilight,2,4,vs. Resist,Medium,,"You fill an area with frightening shadows that take the shape of each creature's worst fears. Choose a close area within range that contains dim light or darkness. Target all hostile creatures within the area.<br/><strong>Weak.</strong> Each target is briefly frightened and takes +2 psychic damage (ignoring AV).<br/><strong>Strong.</strong> Each target is frightened for a short duration and takes +4 psychic damage (ignoring AV).<br/><strong>Critical.</strong> Each target is frightened for a short duration, briefly stunned, and takes +6 psychic damage (ignoring AV).<br/>They can roll Spirit + Fortitude vs. your Resist at the end of their turns to end the effect early.<br/>",<strong>(Rank 3) </strong>Each target takes +4/+8/+12 psychic damage (ignoring AV) instead.
<strong>Twilight Bind</strong>,Twilight,2,4,vs. Resist,Medium,concentrate,"You weave twilight magic into a creature's mind, temporarily turning them from foe to friend through shadow manipulation clouding their perception of reality. The target must be of a tier equal to or lower than your Mysticism. On a success, the target becomes charmed by you and treats you and your allies as friends for a short duration.<br/>The creature can roll Spirit + Fortitude vs. your Resist at the end of their turns to end the effect early. If the creature takes damage from you or your allies, they can immediately make this roll with +1 boon.<br/>You can only cast this spell once against any individual creature once per day.<br/>",<strong>(Rank 3)</strong> The spell lasts for a medium duration instead.
<strong>Blessing of Life</strong>,Life,1,2,Medium (8),Touch,singular,"You bless a creature with the magical power of life, bolstering their vitality.<br/>On a success, the creature gains the following effects:<br/>- You gain 5 temporary HP. They replenish after a short break.<br/>- You gain +1 boon on Fortitude rolls.<br/>This spell lasts for a long duration.<br/>",<strong>(Rank 2)</strong> You gain 10 temporary HP instead.<br/><br/><strong>(Rank 3)</strong> You gain 20 temporary HP instead.
<strong>Healing Touch</strong>,Life,1,2,Medium (8),Touch,,"You focus life-giving magic into an injury, mending it quickly or taking longer to close more grievous injuries.<br/>You can cast this spell using an Action or casting it as a ritual (minutes).<br/><br/><strong>Action.</strong> Restore +4/8/12 HP to your target.<br/><strong>Ritual (minutes). </strong>On a success, you heal one Wound from a creature. Any single creature can only benefit from the effect of this spell once per day.","<strong>(Rank 2)</strong> When using your Action, restore +6/12/16 HP instead. When casting this spell as a ritual (minutes) instead, heal up to two Wounds from a creature.<br/><br/><strong>(Rank 3)</strong> When using your Action, restore +8/16/24 HP instead. When casting this spell as a ritual (minutes) instead, heal up to three Wounds from a creature."
<strong>Overflow of Life</strong>,Life,1,2,Medium (8),Medium,,"You overwork the vital system of the target, returning them to consciousness or causing them a heart attack if already conscious. The target must be a living creature.<br/><strong>Weak.</strong> If the target is dying, they stop dying but remain unconscious. If the target is unconscious, they wake up. If the target is conscious, they take +3 radiant damage.<br/><strong>Strong.</strong> If the target is dying, they stop dying and wake up. If the target is unconscious, they wake up. If the target is conscious, they take +6 radiant damage.<br/><strong>Critical.</strong> If the target is dying, they stop dying, wake up, and one of their Injuries is instantly treated (their choice). If the target is unconscious, they wake up. If the target is conscious, they take +9 radiant damage.","<strong>(Rank 2)</strong> If the target is conscious, they take +5/10/15 radiant damage instead.<br/><br/><strong>(Rank 3)</strong> If the target is conscious, they take +7/14/21 radiant damage instead."
<strong>Rapid Vitality</strong>,Life,1,2,Medium (8),Medium,quick,You quickly envigorate a creature. Cast this spell on your turn.<br/><strong>Weak.</strong> Restore +2 HP to your target.<br/><strong>Strong.</strong> Restore +4 HP to your target.<br/><strong>Critical. </strong>Restore +6 HP to your target.,<strong>(Rank 2)</strong> Restore +4/8/12 HP instead.<br/><br/><strong>(Rank 3)</strong> Restore +6/12/18 HP instead.
<strong>Vitalizing Weapon</strong>,Life,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of vitality. If the target is dual-wielding, you can instead target both their held weapons.<br/>On a success, any strong or critical hit with the weapon restores 4 HP to the wielder. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.<br/>This spell lasts for a medium duration.<br/>","<strong>(Rank 2)</strong> On a strong or critical hit, restore 6 HP instead.<br/><br/><strong>(Rank 3)</strong> On a strong or critical hit, restore 8 HP instead."
<strong>Aid</strong>,Life,2,4,Hard (10),Short,enchant (body),"Bolster your allies’ toughness with a blessing.<br/>On a success, choose up to four creatures in range. They each gain 10 temporary HP for a long duration.<br/>",<strong>(Rank 3)</strong> Each target gains 20 temporary HP instead.
<strong>Cleanse</strong>,Life,2,4,Hard (10),Medium,"quick, singular","Relieve a creature from any negative conditions. Cast this spell on your turn. Target a willing creature. On a success, remove the following conditions from the target: bleeding, burning, blinded, charmed, confused, dazed, deafened, frightened, paralyzed, poisoned, silenced, slowed, staggered, and stunned. This doesn’t remove conditions applied by a continuous effect that affects the target indirectly, such as an persistent area effect.",<strong>(Rank 3)</strong> Choose an additional willing target in range.
<strong>Hallow Ground</strong>,Life,2,4,Hard (10),Close,concentrate,"You hallow the ground around you, healing all allies standing on it.<br/>On a success, each ally in range of the hallow ground restores +2 HP when you cast the spell and at the start of each of their turns.<br/>The hallow ground remains stationary at the position where you cast it for a short duration.<br/>",<strong>(Rank 3)</strong> Restore +4 HP instead.
<strong>Healing Burst</strong>,Life,2,4,Hard (10),Short,blast (cone),"You conjure a wave of healing energy, restoring the endurance of all allies within it.<br/><strong>Weak.</strong> Restore +3 HP to each ally.<br/><strong>Strong.</strong> Restore +6 HP to each ally.<br/><strong>Critical. </strong>Restore +9 HP to each ally.",<strong>(Rank 3)</strong> Restore +5/10/15 HP instead.
