Name,Description
<strong>blast (cone)</strong>,"This spell affects targets within range in a conial shape. Choose any direction and center point at max. distance for the cone to find out which creatures are affected along the way.<br/>Generally, at it‘s furthest point the cone extends in breadth one range category less than in length. So at close range the cone‘s breadth extends in melee range, at short range it extends in close range, at medium range it extends in short range, and so on.<br/>Any creature in melee with you which is reasonably within the direction of the spell’s cone, is also affected.<br/>"
<strong>blast (line)</strong>,"This spell affects targets between the spell’s point of origin and target location. When you target a creature, all other creatures in melee range with them are targeted as well. Any creature or group of creatures at melee range with each other that are reasonably on the spell‘s line of effect are also targeted by it."
<strong>concentrate</strong>,You are required to hold your Spell Concentration while this spell‘s duration lasts. You can only hold your Spell Concentration on one spell at a time. You can choose to end concentrating on a spell at any time.
<strong>enchant (X)</strong>,"This spell enchants some part of your person (body, eyes, etc.)  or one piece of equipment (weapon, armor, etc.). You can only benefit from one such enchantment for each individual part at a time. This counts as a temporary enchantment in regards to already enchanted items."
<strong>illusory</strong>,"The target can roll Spirit + Perception vs. your Resist as an Action, or after physically interacting with the illusion of this spell, such as attacking it, to see through it.<br/>A target that has previously successfully saved against this spell’s effects is immune against the spell’s illusion.<br/>"
<strong>material (X)</strong>,You need the mentioned material cost to cast this spell. A successful cast doesn‘t destroy the material.
<strong>material cost (X)</strong>,You need the mentioned material cost to cast this spell. A blunder or successful cast destroys the material.
<strong>quick</strong>,"You can cast this spell using a Quick Action at the specified time, or cast it normally using an Action on your turn."
<strong>ritual (X)</strong>,"Casting this spell takes up more time than a single Action. A ritual spell has to be cast as an activity of the given time interval (minutes → delving, hours → exploration, days → travel, weeks → downtime). While you cast the spell, you must focus your entire attention on it and can’t perform other tasks at the same time. While casting a ritual spell, you are using your Spell Concentration on the spell."
<strong>singular</strong>,"You can only ever cast this spell once at a time. If you cast the spell again, the spell’s lasting effect of the previous cast ends."
