Name,Skill Requirement,Description
Arcane Spell Knowledge,Arcana,"You can take higher ranks for this talent without having taken it’s lower ranks provided your Mysticism also has the required rank.(Rank 1) +2 Focus. Learn two rank 0 or 1 spells for any of your disciplines, or adopt a new discipline and learn one new rank 0 spell for it. You can choose this Talent multiple times.(Rank 2) +2 Focus. Learn two rank 2 or lower spells for any of your disciplines. You can choose this Talent multiple times.(Rank 3) +2 Focus. Learn two rank 3 or lower spells for any of your disciplines. You can choose this Talent multiple times.(Rank 4) +2 Focus. Learn two rank 4 or lower spells for any of your disciplines. You can choose this Talent multiple times."
Battle Mage,Arcana,"(Rank 1) When you are attacked by an enemy and they roll against your Parry or Dodge, you can use your Quick Action and spend 2 Focus to conjure a momentary barrier of arcane force which adds your Arcana to both your Parry or Dodge against that attack. You can spend another 2 Focus for the same effect against further attacks until your next turn without using another Quick Action.(Rank 2) You can roll Mind + Arcana for weapon attacks.(Rank 3) When you hit with a melee or ranged weapon, add your Arcana to the damage (ability bonus).(Rank 4) After you have attacked with a melee or ranged weapon, you can use your Quick Action to cast any rank 0 spell targeting a single creature."
Inexhaustible Mind,Arcana,"(Rank 1) During a short break, you can meditate to recharge your mind’s power and regain half your max. Focus. You can use this ability a number of times per day equal to your Arcana.(Rank 2) When you have no Focus left, you can still cast spells by spending 2 HP for every 1 Focus you would have to spend normally.(Rank 3) When you use your Inexhaustible Mind ability during a short break, you regain all your Focus instead."
Mana Shield,Arcana,"(Rank 1) When you successfully cast an arcane spell, you gain 2 + the spell's rank as AV (armor bonus). If you cast another arcane spell, only keep the highest AV bonus from this ability. This bonus lasts for a short duration or until you have taken damage from any source.(Rank 2) AV from your Mana Shield ability doesn‘t end from taking damage.(Rank 3) When you take damage, you can choose to double the AV bonus from your Mana Shield ability against it, but the ability‘s bonus immediately ends afterward."
Master of Fundamentals,Arcana,"(Rank 1) When you cast an arcane rank 0 spell, you can choose to re-roll the test once per scene.(Rank 2) You gain the following abilities:- When you hit with an arcane rank 0 spell that deals damage, add your Arcana to the damage (ability bonus).- Instead of attacking for an Opportunity Attack, you can choose to cast an arcane rank 0 spell against the target.(Rank 3) When you cast an arcane rank 0 spell on your turn, you can use a Quick Action to cast the same spell again against any target but suffer +1 bane on the roll."
Spellblade,Arcana,"(Rank 1) You can infuse one of your spells into a weapon attack. Choose any of your arcane rank 0 non-ritual spells that target the Defense of one or more enemies within your weapon‘s range.Roll your normal weapon attack. Treat the roll as an attack and as casting the chosen spell. With this attack, you can’t use any other abilities or effects that would apply to casting a spell.On a hit, apply the spell‘s effects according to the SL of your attack, in addition to your normal weapon attack. You add its spell damage (without the spell’s base damage) to your attack’s damage and the attack’s damage type becomes that of the spell. Also, spend the spell‘s Focus cost, but increase it by 2.(Rank 2) You can also use arcane rank 1 non-ritual spells that target the Defense of one or more enemies within your weapon‘s range with your Spellblade ability.(Rank 3) You can also use arcane rank 2 non-ritual spells that target the Defense of one or more enemies within your weapon‘s range with your Spellblade ability."
Spellweaver,Arcana,(Rank 1) +2 Focus. You are able to use Metamagic Arts along with your arcane spells. You learn any two Metamagic Arts.(Rank 2) +2 Focus. Learn two more Metamagic Arts.(Rank 3) +2 Focus. Learn two more Metamagic Arts.
Ammo Specialist,Archery,"(Rank 1) When you have to roll a Supply check for your ammo, roll twice and take the higher result.(Rank 2) You carry special types of ammo with you. When attacking with a ranged weapon that uses ammo, you can choose between barbed (slash), bodkin (pierce), and blunt (crush). Your ranged weapon gains the property of the chosen option for this attack. Immediately after the attack, make a Supply check for your ammo.(Rank 3) When you attack with special ammo from your Ammo Specialist ability, you also add your Archery to the damage (ability bonus)."
Art of Archery,Archery,"(Rank 1) You learn two more Combat Arts for any ranged weapons.(Rank 2) You learn two more Combat Arts for any ranged weapons.(Rank 3) You gain the following abilities:- Whenever you can learn new Combat Arts for any ranged weapons, you can now choose Supreme Combat Arts instead. - You learn two more Combat Arts or Supreme Combat Arts for any ranged weapons.(Rank 4) You learn two more Combat Arts or Supreme Combat Arts for any ranged weapons."
Crossbow Mastery,Archery,"(Rank 1) You can also reload your crossbow using a Quick Action on your turn.(Rank 2) On a strong or critical hit with a crossbow, ignore 1/2 the target‘s AV.(Rank 3) When you hit with a crossbow, you can use your Quick Action to make the target roll a hard Strength + Fortitude test. On a failure, the target is briefly stunned. On a success, the target is briefly shaken instead."
Disciplined Archer,Archery,"(Rank 1) You can choose to re-roll any attack roll with a ranged weapon once per scene.(Rank 2) You can use your Combat Arts for ranged weapons two times per scene each, but each individual Combat Art not two turns in a row.(Rank 3) When you hit with a ranged weapon, you can choose to use your Quick Action to make another attack against any target but suffer +1 bane on the roll."
Expert Slinger,Archery,"(Rank 1) When you have to make a Supply check for a bundle of thrown weapons, roll twice and take the higher result.(Rank 2) When you hit with a thrown weapon at close or short range, add your Archery to the damage (ability bonus).(Rank 3) After attacking with a thrown weapon on your turn, you can choose to immediately spend 1 Movement without provoking Opportunity Attacks. You can use this ability once between your turns."
Rapid Shot,Archery,"(Rank 1) When using your Action to attack with a non-heavy ranged weapon, you can attack twice with it, but you suffer +1 bane on both attacks.(Rank 2) You suffer no banes from using your Rapid Shot ability.(Rank 3) On a strong or critical hit with a non-heavy ranged weapon, the target suffers marked (4)."
Reflexive Shooter,Archery,"(Rank 1) You don’t suffer banes from shooting into or out of melee range. If you roll a blunder for ranged attacks shooting into melee, you still accidentally hit another creature at random.(Rank 2) When an enemy enters your close range, you can use your Quick Action to make an Opportunity Attack with a ranged weapon you are holding against them.(Rank 3) When an enemy leaves your close range, you can use your Quick Action to make an Opportunity Attack with a ranged weapon you are holding against them."
Sharpshooter,Archery,"(Rank 1) When attacking with a ranged weapon, you can ignore the first bane you would suffer from attacking beyond normal range.(Rank 2) When attacking with a ranged weapon, you suffer no banes from attacking beyond normal range.(Rank 3) When you skip all Movement this turn (before and after the attack) and when you attack with a ranged weapon at long range or more, you can inflict marked (equal to your Archery) on your target immediately before the attack."
Strong Grip,Archery,"(Rank 1) Using the Power Shot Combat Art with a heavy ranged weapon doesn't impose +1 bane on your attack.(Rank 2) If your Strength die is one or more steps larger than the heavy property of a ranged weapon, you can choose to attack with it as if it were a non-heavy weapon. Effects that rely on a heavy weapon will not meet their condition anymore when doing so.(Rank 3) When you hit with a heavy ranged weapon, add +1/2 Strength to the damage."
Athletic Movement,Athletics,"(Rank 1) When rolling Athletics during special types of Movement, such as crawling, crouching, climbing, swimming, while jumping, or when using the Vault action, you can re-roll the test once per scene.(Rank 2) You gain the following abilities:- You can also use the Vault Action using a Quick Action on your turn.- During special types of Movement, such as crawling, crouching, climbing, and swimming, you don‘t move as in difficult terrain.(Rank 3) You gain the following abilities:- When jumping, you can jump a short distance instead.- When you take falling damage, treat your distance as one category lower."
Bulky,Athletics,"(Rank 1) Gain +2 HP. Add +2 to your carrying capacity.(Rank 2) Gain +2 HP. You gain the following abilities:- Add +3 to your carrying capacity instead.- When you are moving through difficult terrain or otherwise are required to spend extra Movement, you can use your Quick Action to move without spending extra Movement for the rest of your turn.(Rank 3) Gain +2 HP. You gain the following abilities:- Add +4 to your carrying capacity instead.- While grappling, being grappled, or restrained, you count as a creature one Size larger than normal."
Escape Artist,Athletics,"You can’t use any of these abilities while wearing heavy armor.(Rank 1) When you would be grappled, knocked prone, or pushed, you can use your Quick Action to roll Agility + Athletics vs. the source’s Parry. On a success, you ignore the effect.(Rank 2) Whenever you can roll Athletics with an Action to end the effect that grapples or restrains you, you can use your Quick Action to automatically choose to succeed on the roll.(Rank 3) Your Movement doesn’t provoke Opportunity Attacks."
Evasion,Athletics,"You can’t use any of these abilities while wearing heavy armor.(Rank 1) You can also use the Retreat Action using a Quick Action on your turn.(Rank 2) You gain +1 Quick Action you can use between your turns. You can still only use one of your Quick Actions during your turn.(Rank 3) When you take physical damage from any source, you can choose to halve that damage once per scene (after subtracting AV)."
Fast Stride,Athletics,"You can’t use any of these abilities while wearing heavy armor.(Rank 1) You can also use the Dash Action using a Quick Action on your turn.(Rank 2) During your turns, you get +1 Movement.(Rank 3) After a successful attack, you can choose to immediately move a close or short distance without provoking Opportunity Attacks."
Grappler,Athletics,"(Rank 1) When you hit a target no more than one size larger than you with an unarmed attack or with a brawling weapon, you can choose to also grapple the target. When doing so, this attack also counts as a Grapple Action. On a hit, the target is grappled by you.(Rank 2) While you are grappling a creature and you hit them again with an unarmed attack or with a brawling weapon, you can choose to also restrain them while they are grappled by you.(Rank 3) You gain the following abilities:- Creatures larger than you don’t impose banes on your grapple rolls and don’t gain boons from their Size to end your grapple against them.- While grappling, add your Athletics as damage to attacks against the grappled target (ability bonus)."
Light Armor Mastery,Athletics,"(Rank 1) While wearing light armor and being attacked in melee, you can Evade without spending a Quick Action once per scene.(Rank 2) Ignore the noisy property of light armor you wear. (Rank 3) You can use your Light Armor Mastery ability once between your turns instead."
