Name,Tradition,Rank,Focus,Target,Range,Properties,Effect,Heightened
Blessing of Light,Light,1,2,Medium (8),Touch,"enchant (eyes), singular","You bless a creature with the magical power of light, making them enlightened to their surroundings.On a success, the creature gains the following effects:- You can see one range category further from sources of bright and dim light.- You gain +1 boon on Perception rolls.This spell lasts for a long duration.","(Rank 2) The target gains resistance to fire and radiant damage for the spell‘s duration.(Rank 3) The target gains resistance to fire, necrotic, psychic, and radiant damage for the spell‘s duration."
Radiant Weapon,Light,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of the sun. If the target is dual-wielding, you can instead target both their held weapons.On a success, the weapon emits bright light in melee range and dim light in close range of it and deals +2 radiant damage. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.This spell lasts for a medium duration.",(Rank 2) The weapon emits bright light in close range and dim light in short range and deals +4 radiant damage instead.(Rank 3) The weapon emits bright light in short range and dim light in medium range and deals +6 radiant damage instead.
Curse of Twilight,Twilight,1,2,vs. Resist,Short,singular,"You curse a creature with the magical power of twilight, bringing the fear of night into their heart.On a success, the creature suffers the following effects:- They see in bright light as in dim light.- They suffer +1 bane on Perception and Initiative rolls.This curse lasts for a long duration.",(Rank 2) The target suffers a weakness to either frost or psychic damage (choose one) for the spell‘s duration.(Rank 3) The target suffers a weakness to both frost and psychic damage for the spell‘s duration.
Haunting Shadows,Twilight,1,2,vs. Resist,Medium,concentrate,"You conjure vengeful shadows that follow and torment a target with chilling whispers and ghostly touches. On a success, imaginary spectral shadows begin haunting the target. The target takes +2 psychic damage (ignoring AV) at the start of each of their turns. The shadows whisper disturbing thoughts, causing the target to suffer +1 bane on Spirit and Mind rolls.The haunting lasts for a short duration. The target can roll Spirit + Fortitude vs. your Resist at the end of their turns to end the effect early.",(Rank 2) The target takes +4 psychic damage (ignoring AV) instead.(Rank 3) The target takes +6 psychic damage (ignoring AV) instead.
Lunar Weapon,Twilight,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of the night. If the target is dual-wielding, you can instead target both their held weapons.On a success, the weapon emits dim light in close range of it and deals +2 frost damage. On a strong or critical hit, the attack‘s target is briefly slowed. Each creature can suffer the condition from this spell only once per scene. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.This spell lasts for a medium duration.",(Rank 2) The weapon deals +4 frost damage instead.(Rank 3) The weapon deals +6 frost damage instead.
Aura of Fear,Twilight,2,4,Hard (10),Self,concentrate,"You emanate an aura of primal terror that affects all hostile creatures in close range. On a success, you create an aura that moves with you for a short duration. Any hostile creature that starts their turn within close range of you must roll Spirit + Mysticism vs. your Resist. On a failure, they become frightened of you for the rest of their turn and take +4 psychic damage (ignoring AV). A creature can only be affected by this spell once per turn. Creatures that succeed on their test are immune to this spell's fear effect until the spell ends.","(Rank 3) Choose one:- The aura extends in short range around you instead.- On a failure, each creature takes +8 psychic damage (ignoring AV) instead."
Terrors of the Dark,Twilight,2,4,vs. Resist,Medium,,"You fill an area with frightening shadows that take the shape of each creature's worst fears. Choose a close area within range that contains dim light or darkness. Target all hostile creatures within the area.Weak. Each target is briefly frightened and takes +2 psychic damage (ignoring AV).Strong. Each target is frightened for a short duration and takes +4 psychic damage (ignoring AV).Critical. Each target is frightened for a short duration, briefly stunned, and takes +6 psychic damage (ignoring AV).They can roll Spirit + Fortitude vs. your Resist at the end of their turns to end the effect early.",(Rank 3) Each target takes +4/+8/+12 psychic damage (ignoring AV) instead.
Twilight Bind,Twilight,2,4,vs. Resist,Medium,concentrate,"You weave twilight magic into a creature's mind, temporarily turning them from foe to friend through shadow manipulation clouding their perception of reality. The target must be of a tier equal to or lower than your Mysticism. On a success, the target becomes charmed by you and treats you and your allies as friends for a short duration.The creature can roll Spirit + Fortitude vs. your Resist at the end of their turns to end the effect early. If the creature takes damage from you or your allies, they can immediately make this roll with +1 boon.You can only cast this spell once against any individual creature once per day.",(Rank 3) The spell lasts for a medium duration instead.
Blessing of Life,Life,1,2,Medium (8),Touch,singular,"You bless a creature with the magical power of life, bolstering their vitality.On a success, the creature gains the following effects:- You gain 5 temporary HP. They replenish after a short break.- You gain +1 boon on Fortitude rolls.This spell lasts for a long duration.",(Rank 2) You gain 10 temporary HP instead.(Rank 3) You gain 20 temporary HP instead.
Healing Touch,Life,1,2,Medium (8),Touch,,"You focus life-giving magic into an injury, mending it quickly or taking longer to close more grievous injuries.You can cast this spell using an Action or casting it as a ritual (minutes).Action. Restore +4/8/12 HP to your target.Ritual (minutes). On a success, you heal one Wound from a creature. Any single creature can only benefit from the effect of this spell once per day.","(Rank 2) When using your Action, restore +6/12/16 HP instead. When casting this spell as a ritual (minutes) instead, heal up to two Wounds from a creature.(Rank 3) When using your Action, restore +8/16/24 HP instead. When casting this spell as a ritual (minutes) instead, heal up to three Wounds from a creature."
Overflow of Life,Life,1,2,Medium (8),Medium,,"You overwork the vital system of the target, returning them to consciousness or causing them a heart attack if already conscious. The target must be a living creature.Weak. If the target is dying, they stop dying but remain unconscious. If the target is unconscious, they wake up. If the target is conscious, they take +3 radiant damage.Strong. If the target is dying, they stop dying and wake up. If the target is unconscious, they wake up. If the target is conscious, they take +6 radiant damage.Critical. If the target is dying, they stop dying, wake up, and one of their Injuries is instantly treated (their choice). If the target is unconscious, they wake up. If the target is conscious, they take +9 radiant damage.","(Rank 2) If the target is conscious, they take +5/10/15 radiant damage instead.(Rank 3) If the target is conscious, they take +7/14/21 radiant damage instead."
Rapid Vitality,Life,1,2,Medium (8),Medium,quick,You quickly envigorate a creature. Cast this spell on your turn.Weak. Restore +2 HP to your target.Strong. Restore +4 HP to your target.Critical. Restore +6 HP to your target.,(Rank 2) Restore +4/8/12 HP instead.(Rank 3) Restore +6/12/18 HP instead.
Vitalizing Weapon,Life,1,2,Medium (8),Touch,"enchant (weapon), singular","Imbue a weapon with the power of vitality. If the target is dual-wielding, you can instead target both their held weapons.On a success, any strong or critical hit with the weapon restores 4 HP to the wielder. If you target your own weapon, you can make a weapon attack with it as part of casting this spell.This spell lasts for a medium duration.","(Rank 2) On a strong or critical hit, restore 6 HP instead.(Rank 3) On a strong or critical hit, restore 8 HP instead."
Aid,Life,2,4,Hard (10),Short,enchant (body),"Bolster your allies’ toughness with a blessing.On a success, choose up to four creatures in range. They each gain 10 temporary HP for a long duration.",(Rank 3) Each target gains 20 temporary HP instead.
Cleanse,Life,2,4,Hard (10),Medium,"quick, singular","Relieve a creature from any negative conditions. Cast this spell on your turn. Target a willing creature. On a success, remove the following conditions from the target: bleeding, burning, blinded, charmed, confused, dazed, deafened, frightened, paralyzed, poisoned, silenced, slowed, staggered, and stunned. This doesn’t remove conditions applied by a continuous effect that affects the target indirectly, such as an persistent area effect.",(Rank 3) Choose an additional willing target in range.
Detect Life,Life,2,4,Hard (10),Self,concentrate,You detect all living beings around you,Increased range or details
Hallow Ground,Life,2,4,Hard (10),Close,concentrate,"You hallow the ground around you, healing all allies standing on it.On a success, each ally in range of the hallow ground restores +2 HP when you cast the spell and at the start of each of their turns.The hallow ground remains stationary at the position where you cast it for a short duration.",(Rank 3) Restore +4 HP instead.
Healing Burst,Life,2,4,Hard (10),Short,blast (cone),"You conjure a wave of healing energy, restoring the endurance of all allies within it.Weak. Restore +3 HP to each ally.Strong. Restore +6 HP to each ally.Critical. Restore +9 HP to each ally.",(Rank 3) Restore +5/10/15 HP instead.
Blood Shards,Death,1,2,vs. Dodge,Medium,,"You conjure razor-sharp crystallized blood shards and hurl them at your target, piercing their flesh and drawing life force back to you.Weak. Deal +3 necrotic damage and regain 2 HP.Strong. Deal +6 necrotic damage and regain 4 HP.Critical. Deal +9 necrotic damage and regain 6 HP.",(Rank 2) Deal +5/+10/+15 necrotic damage and regain 3/6/9 HP instead.(Rank 3) Deal +7/+14/+21 necrotic damage and regain 4/8/12 HP instead.
Curse of Death,Death,1,2,vs. Resist,Short,singular,"You curse a creature with the magical power of death, withering their mortal body.On a success, the creature suffers the following effects:- Their max. HP are reduced by 5.- They can't regain HP. - They suffer +1 bane on Fortitude rolls.This curse lasts for a long duration.",(Rank 2) The target suffers a weakness to either necrotic or poison damage (choose one) for the spell‘s duration.(Rank 3) The target suffers a weakness to both necrotic and poison damage for the spell‘s duration.
